数量,酒店名,星级,档次,评分,价格,链接
129,北京君颐百合主题酒店,03,舒适型,4.7,519元,http://hotels.ctrip.com/hotel/15718417.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_4
130,北京巴比伦时尚酒店,02,经济型,4.0,228元,http://hotels.ctrip.com/hotel/793933.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_5
131,北京瑰丽酒店,05,豪华型,4.8,2066元,http://hotels.ctrip.com/hotel/1198297.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_6
132,北京万达文华酒店,05,国家旅游局评定为五星级,4.6,1218元,http://hotels.ctrip.com/hotel/375511.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_7
133,北京唐拉雅秀酒店,05,豪华型,4.5,950元,http://hotels.ctrip.com/hotel/374783.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_8
134,北京长城饭店(原喜来登长城饭店),05,国家旅游局评定为五星级,4.4,668元,http://hotels.ctrip.com/hotel/347310.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_9
135,北京长富宫饭店,05,国家旅游局评定为五星级,4.7,878元,http://hotels.ctrip.com/hotel/427807.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_10
136,北京华尔道夫酒店,05,豪华型,4.8,2075元,http://hotels.ctrip.com/hotel/735707.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_11
137,北京王府井希尔顿酒店,05,豪华型,4.6,1453元,http://hotels.ctrip.com/hotel/347308.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_12
138,北京泰富酒店,05,豪华型,4.8,1216元,http://hotels.ctrip.com/hotel/5032132.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_13
139,北京京伦饭店,04,国家旅游局评定为四星级,4.4,653元,http://hotels.ctrip.com/hotel/374791.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_14
140,北京五洲大酒店,04,国家旅游局评定为四星级,4.5,590元,http://hotels.ctrip.com/hotel/444709.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_15
141,北京贵州大厦,04,国家旅游局评定为四星级,4.7,804元,http://hotels.ctrip.com/hotel/437222.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_16
142,北京鹏润国际大酒店,05,国家旅游局评定为五星级,4.6,716元,http://hotels.ctrip.com/hotel/427091.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_17
143,北京未名君合酒店(原君和泰酒店),03,舒适型,4.8,459元,http://hotels.ctrip.com/hotel/19535460.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_18
144,北京三里屯通盈中心洲际酒店,05,豪华型,4.8,1826元,http://hotels.ctrip.com/hotel/5659815.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_19
145,北京天伦松鹤大饭店,04,国家旅游局评定为四星级,4.5,598元,http://hotels.ctrip.com/hotel/443694.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_20
146,北京丽苑公寓,05,豪华型,4.7,1488元,http://hotels.ctrip.com/hotel/661166.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_21
147,北京西苑饭店,05,国家旅游局评定为五星级,4.5,558元,http://hotels.ctrip.com/hotel/440888.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_22
148,北京璞邸酒店,05,国家旅游局评定为五星级,4.5,752元,http://hotels.ctrip.com/hotel/374775.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_23
149,北京名人国际大酒店,05,国家旅游局评定为五星级,4.5,896元,http://hotels.ctrip.com/hotel/429111.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_24
150,北京首都宾馆,05,国家旅游局评定为五星级,4.6,2699元,http://hotels.ctrip.com/hotel/374781.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_25
151,秋果酒店(北京崇文门店),04,高档型,4.9,545元,http://hotels.ctrip.com/hotel/24087279.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_1
152,北京乐多港万豪酒店,05,豪华型,4.6,1000元,http://hotels.ctrip.com/hotel/21132087.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_2
153,北京燕莎中心凯宾斯基饭店,05,国家旅游局评定为五星级,4.5,1380元,http://hotels.ctrip.com/hotel/347312.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_3
154,北京首都机场国际酒店,04,高档型,4.0,268元,http://hotels.ctrip.com/hotel/534568.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_4
155,麗枫酒店(北京广安门大观园店),03,舒适型,4.7,546元,http://hotels.ctrip.com/hotel/18550911.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_5
156,速8酒店(北京天坛西门店)(原天桥店),02,经济型,4.0,439元,http://hotels.ctrip.com/hotel/668389.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_6
157,北京东煌凯丽酒店,04,高档型,4.3,679元,http://hotels.ctrip.com/hotel/429484.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_7
158,北京西单美爵酒店,04,国家旅游局评定为四星级,4.5,989元,http://hotels.ctrip.com/hotel/345029.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_8
159,北京京泰龙国际大酒店,04,高档型,4.3,688元,http://hotels.ctrip.com/hotel/434201.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_9
160,时光漫步怀旧主题酒店(北京国子监店),03,舒适型,4.7,454元,http://hotels.ctrip.com/hotel/1013930.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_10
161,秋果酒店(北京十里河地铁站店),04,高档型,4.9,455元,http://hotels.ctrip.com/hotel/25887328.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_11
162,麗枫酒店(北京石景山万达广场店),03,舒适型,4.6,376元,http://hotels.ctrip.com/hotel/472933.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_12
163,北京香江戴斯酒店,03,舒适型,4.2,500元,http://hotels.ctrip.com/hotel/431651.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_13
164,北京首都机场T3驿站,,经济型,4.7,188元,http://hotels.ctrip.com/hotel/9055402.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_14
165,北京展览馆宾馆,03,国家旅游局评定为三星级,4.6,588元,http://hotels.ctrip.com/hotel/608432.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_15
